crc32,savetype_code,rtc,description
fd57493b,3,0,"Battle Network Rockman EXE 3 Black (Japan, rev. 1)"
0c01f3b8,1,0,Battle x Battle - Kyodai Gyo Densetsu (Japan)
60bfcc8e,1,0,BattleBots - Beyond the BattleBox (Europe)
985b3704,1,0,BattleBots - Beyond the BattleBox (USA)
8d5ffbca,0,0,BattleBots - Design & Destroy (USA)
31480d89,0,0,Battletoads (prototype)
f6989fbf,3,0,BB Ball (Japan)
a13760bc,3,0,Beast Shooter - Mezase Beast King! (Japan)
da747c99,1,0,The Bee Game (USA)
0363c23f,1,0,Die Biene Maja - Klatschmohnwiese in Gefahr (Germany)
f87b787b,0,0,The Berenstain Bears - Spooky Old Tree (USA)
f71761ba,2,0,Best Friends - Hunde & Katzen (Germany)
61709d3d,5,0,Best Play Pro Yakyuu Baseball (Japan)
5111df55,2,0,Beyblade G-Revolution (Europe)
33afdbe8,2,0,Beyblade G-Revolution (USA)
02cf5e5c,2,0,Beyblade V-Force - Ultimate Blader Jam (Europe)
4a49272b,2,0,Beyblade V-Force - Ultimate Blader Jam (USA)
516ceac6,0,0,Bibi Blocksberg - Der Magische Hexenkreis (Germany)
fd8c06ee,1,0,"Bibi und Tina - Ferien auf dem Martinshof (Germany, rev. 1)"
95a19c3c,1,0,Bibi und Tina - Ferien auf dem Martinshof (Germany)
cee6904e,0,0,The Bible Game (USA)
c54c02d0,1,0,Big Mutha Truckers (Europe)
574907f4,1,0,Big Mutha Truckers (USA)
5412a24d,0,0,Bionicle (Europe)
c38f3530,0,0,Bionicle (USA)
daec2264,1,0,"Bionicle - Matoran Adventures (Europe, USA)"
9d66ec5e,1,0,"Bionicle - Maze of Shadows (Europe, rev. 1)"
bce2d68e,1,0,Bionicle - Maze of Shadows (Europe)
3fe09c34,1,0,Bionicle - Maze of Shadows (USA)
b8dc715b,1,0,Bionicle Heroes (Europe)
f4fafccf,1,0,Bionicle Heroes (USA)
904b55d4,3,0,bit Generations - Boundish (Japan)
a04be1ed,3,0,bit Generations - Coloris (Japan)
dd58aecd,0,0,"Commandos 2 (USA, prototype, 20021128)"
812ef3a9,3,0,bit Generations - Dialhex (Japan)
0867dc29,3,0,bit Generations - Digidrive (Japan)
f0760400,3,0,bit Generations - Dotstream (Japan)
d5d43b4b,3,0,bit Generations - Orbital (Japan)
b32e0839,3,0,bit Generations - Soundvoyager (Japan)
72a55741,1,0,Black Belt Challenge (Europe)
05a4303e,3,0,Black Black - Bura Bura (Japan)
2b2afa2e,2,0,Black Matrix Zero (Japan)
e1d36a8c,1,0,Blackthorne (Europe)
8e6dcd53,1,0,Blackthorne (USA)
2ccd4915,0,0,Blades of Thunder (USA)
9de5cd08,4,0,Bleach Advance - Kurenai ni Somaru Soul Society (Japan)
9a91d7f1,3,0,Blender Bros. (USA)
0cec865b,0,0,"Blue Angelo - Angels from the Shrine (Europe, prototype 1)"
f1b924dc,0,0,"Blue Angelo - Angels from the Shrine (Europe, prototype 2)"
b6d79476,1,0,BMX Trick Racer (USA)
e5c745d8,0,0,Board Game Classics (Europe)
69d760bb,0,0,Board Game Classics (USA)
0bd9700b,3,0,Boboboubo Boubobo - 9 Kyoku Senshi Gag Yuugou (Japan)
166feecb,3,0,Boboboubo Boubobo - Bakutou Hajike Taisen (Japan)
37938ca4,3,0,Boboboubo Boubobo - Maji de!!? Shinken Battle (Japan)
58105f89,3,0,Boboboubo Boubobo - Ougi 87.5 Bakuretsu Hanage Shinken (Japan)
9686c36b,0,1,Boktai - The Sun Is in Your Hand (Europe)
cf692572,0,0,"Boktai - The Sun Is in Your Hand (USA, demo)"
e715ac45,0,1,Boktai - The Sun Is in Your Hand (USA)
748189b5,0,1,Boktai 2 - Solar Boy Django (Europe)
e1ffb2d1,0,1,Boktai 2 - Solar Boy Django (USA)
5e3b163e,3,0,"Boku wa Koukuu Kanseikan (Japan, rev. 1)"
09185657,3,0,Bokujou Monogatari - Mineral Town no Nakama-tachi (Japan)
7c26672f,3,0,Bokujou Monogatari - Mineral Town no Nakama-tachi for Girl (Japan)
a09c0807,0,1,Bokura no Taiyou - Taiyou Action RPG (Japan)
70c423b8,3,0,Bomberman Jetters - Densetsu no Bomberman (Japan)
b9dea90d,1,0,Bomberman Jetters - Game Collection (Japan)
09fc4d53,2,0,Bomberman Max 2 - Blue Advance (Europe)
94c620f3,2,0,Bomberman Max 2 - Blue Advance (USA)
656cf22e,2,0,Bomberman Max 2 - Bomberman Version (Japan)
290d8810,2,0,Bomberman Max 2 - Max Version (Japan)
67d2e5b8,2,0,Bomberman Max 2 - Red Advance (Europe)
4db517c1,2,0,Bomberman Max 2 - Red Advance (USA)
f7f40189,3,0,Bomberman Story (Japan)
240282e6,3,0,"Bomberman Tournament (Europe, USA)"
4d540384,1,0,Bookworm (USA)
57438e39,3,0,Bouken Yuuki Pluster World - Densetsu no Plust Gate (Japan)
3f60bf6a,3,0,Bouken Yuuki Pluster World - Densetsu no Plust Gate EX (Japan)
ce7a07f0,3,0,Bouken Yuuki Pluster World - Pluston GP (Japan)
1cc42ebc,2,0,Bouken-ou Beet - Busters Road (Japan)
128edc4f,1,0,Boukyaku no Senritsu - The Melody of Oblivion (Japan)
d41866a9,1,0,Boulder Dash EX (Europe)
e77d5f9b,1,0,Boulder Dash EX (Japan)
b355365a,1,0,Boulder Dash EX (USA)
08a4fdc4,0,0,"Boxing Fever (Europe, USA)"
b30241e2,1,0,Bratz (Europe)
21e5a010,1,0,Bratz (USA)
08b89540,0,0,Bratz - Babyz (Europe)
23e8a494,0,0,Bratz - Babyz (USA)
db179296,2,0,Bratz - Forever Diamondz (Europe)
f39cadeb,2,0,Bratz - Forever Diamondz (Germany)
9e389908,2,0,Bratz - Forever Diamondz (USA)
8fc8d6d2,1,0,Bratz - Rock Angelz (France)
649588cb,1,0,Bratz - Rock Angelz (Germany)
cfff9119,1,0,Bratz - Rock Angelz (Spain)
aa245d0c,1,0,"Bratz - Rock Angelz (Europe, USA)"
4386e26c,0,0,"Bratz - The Movie (Europe, Italian / Spanish)"
cd485f79,0,0,Bratz - The Movie (Europe)
04f21321,0,0,Bratz - The Movie (Germany)
2ef801c0,0,0,Bratz - The Movie (USA)
d3660549,3,0,"Breath of Fire (Europe, English / French / German)"
a1c3165d,3,0,"Breath of Fire (Europe, English)"
f06422a8,3,0,Breath of Fire (USA)
66e96b35,3,0,Breath of Fire - Ryuu no Senshi (Japan)
ff5e8e39,3,0,Breath of Fire II (Europe)
6f098da3,3,0,Breath of Fire II (USA)
8a824a70,3,0,Breath of Fire II - Shimei no Ko (Japan)
cfe69825,0,0,"Britney's Dance Beat (Europe, English / German)"
021cda8e,0,0,"Britney's Dance Beat (Europe, English / French)"
886121a8,0,0,Britney's Dance Beat (Europe)
443198d8,0,0,Britney's Dance Beat (USA)
3212c09b,1,0,Broken Circle (Europe)
e78bc690,1,0,"Broken Circle (Europe, prototype)"
3a23efd7,2,0,Broken Sword - The Shadow of the Templars (Europe)
3278ce51,2,0,Broken Sword - The Shadow of the Templars (USA)
